Unnamed: 0	Description	CancerType	ClassType	Iteration	fold	Algorithm	DefaultParameters	AUROC
388	Clinical	TCGA_STAD	PFI	3	4	logistic_regression	0	0.584615384615385
389	Clinical	TCGA_STAD	PFI	3	5	logistic_regression	0	0.953846153846154
390	Clinical	TCGA_STAD	PFI	4	1	logistic_regression	0	0.7642857142857141
391	Clinical	TCGA_STAD	PFI	4	2	logistic_regression	0	0.6642857142857139
392	Clinical	TCGA_STAD	PFI	4	3	logistic_regression	0	0.8111888111888109
393	Clinical	TCGA_STAD	PFI	4	4	logistic_regression	0	0.830769230769231
394	Clinical	TCGA_STAD	PFI	4	5	logistic_regression	0	0.676923076923077
395	Clinical	TCGA_STAD	PFI	5	1	logistic_regression	0	0.7142857142857142
396	Clinical	TCGA_STAD	PFI	5	2	logistic_regression	0	0.7357142857142859
397	Clinical	TCGA_STAD	PFI	5	3	logistic_regression	0	0.79020979020979
398	Clinical	TCGA_STAD	PFI	5	4	logistic_regression	0	0.8846153846153849
399	Clinical	TCGA_STAD	PFI	5	5	logistic_regression	0	0.923076923076923
425	Clinical	TCGA_STAD	PFI	1	1	random_forest	0	0.7714285714285721
426	Clinical	TCGA_STAD	PFI	1	2	random_forest	0	0.7642857142857141
427	Clinical	TCGA_STAD	PFI	1	3	random_forest	0	0.797202797202797
428	Clinical	TCGA_STAD	PFI	1	4	random_forest	0	0.5615384615384621
429	Clinical	TCGA_STAD	PFI	1	5	random_forest	0	0.615384615384615
430	Clinical	TCGA_STAD	PFI	2	1	random_forest	0	0.8357142857142859
431	Clinical	TCGA_STAD	PFI	2	2	random_forest	0	0.85
432	Clinical	TCGA_STAD	PFI	2	3	random_forest	0	0.629370629370629
433	Clinical	TCGA_STAD	PFI	2	4	random_forest	0	0.823076923076923
434	Clinical	TCGA_STAD	PFI	2	5	random_forest	0	0.496153846153846
435	Clinical	TCGA_STAD	PFI	3	1	random_forest	0	0.8142857142857142
436	Clinical	TCGA_STAD	PFI	3	2	random_forest	0	0.7464285714285709
437	Clinical	TCGA_STAD	PFI	3	3	random_forest	0	0.755244755244755
438	Clinical	TCGA_STAD	PFI	3	4	random_forest	0	0.676923076923077
439	Clinical	TCGA_STAD	PFI	3	5	random_forest	0	0.830769230769231
440	Clinical	TCGA_STAD	PFI	4	1	random_forest	0	0.7714285714285709
441	Clinical	TCGA_STAD	PFI	4	2	random_forest	0	0.7
442	Clinical	TCGA_STAD	PFI	4	3	random_forest	0	0.8391608391608392
443	Clinical	TCGA_STAD	PFI	4	4	random_forest	0	0.823076923076923
444	Clinical	TCGA_STAD	PFI	4	5	random_forest	0	0.753846153846154
445	Clinical	TCGA_STAD	PFI	5	1	random_forest	0	0.65
446	Clinical	TCGA_STAD	PFI	5	2	random_forest	0	0.8214285714285721
447	Clinical	TCGA_STAD	PFI	5	3	random_forest	0	0.706293706293706
448	Clinical	TCGA_STAD	PFI	5	4	random_forest	0	0.815384615384615
449	Clinical	TCGA_STAD	PFI	5	5	random_forest	0	0.892307692307692
450	Clinical	TCGA_UCEC	PFI	1	1	glmnet	0	0.65
451	Clinical	TCGA_UCEC	PFI	1	2	glmnet	0	0.733333333333333
452	Clinical	TCGA_UCEC	PFI	1	3	glmnet	0	0.691666666666667
453	Clinical	TCGA_UCEC	PFI	1	4	glmnet	0	0.65
454	Clinical	TCGA_UCEC	PFI	1	5	glmnet	0	0.611570247933884
455	Clinical	TCGA_UCEC	PFI	2	1	glmnet	0	0.4583333333333329
456	Clinical	TCGA_UCEC	PFI	2	2	glmnet	0	0.7
457	Clinical	TCGA_UCEC	PFI	2	3	glmnet	0	0.808333333333333
458	Clinical	TCGA_UCEC	PFI	2	4	glmnet	0	0.708333333333333
459	Clinical	TCGA_UCEC	PFI	2	5	glmnet	0	0.611570247933884
460	Clinical	TCGA_UCEC	PFI	3	1	glmnet	0	0.65
461	Clinical	TCGA_UCEC	PFI	3	2	glmnet	0	0.683333333333333
462	Clinical	TCGA_UCEC	PFI	3	3	glmnet	0	0.666666666666667
463	Clinical	TCGA_UCEC	PFI	3	4	glmnet	0	0.791666666666667
464	Clinical	TCGA_UCEC	PFI	3	5	glmnet	0	0.776859504132231
465	Clinical	TCGA_UCEC	PFI	4	1	glmnet	0	0.6
466	Clinical	TCGA_UCEC	PFI	4	2	glmnet	0	0.666666666666667
467	Clinical	TCGA_UCEC	PFI	4	3	glmnet	0	0.691666666666667
468	Clinical	TCGA_UCEC	PFI	4	4	glmnet	0	0.85
469	Clinical	TCGA_UCEC	PFI	4	5	glmnet	0	0.81404958677686
470	Clinical	TCGA_UCEC	PFI	5	1	glmnet	0	0.641666666666667
471	Clinical	TCGA_UCEC	PFI	5	2	glmnet	0	0.741666666666667
472	Clinical	TCGA_UCEC	PFI	5	3	glmnet	0	0.666666666666667
473	Clinical	TCGA_UCEC	PFI	5	4	glmnet	0	0.775
474	Clinical	TCGA_UCEC	PFI	5	5	glmnet	0	0.7603305785123969
475	Clinical	TCGA_UCEC	PFI	1	1	knn	0	0.55
476	Clinical	TCGA_UCEC	PFI	1	2	knn	0	0.770833333333333
477	Clinical	TCGA_UCEC	PFI	1	3	knn	0	0.716666666666667
478	Clinical	TCGA_UCEC	PFI	1	4	knn	0	0.633333333333333
479	Clinical	TCGA_UCEC	PFI	1	5	knn	0	0.62396694214876
480	Clinical	TCGA_UCEC	PFI	2	1	knn	0	0.5333333333333329
481	Clinical	TCGA_UCEC	PFI	2	2	knn	0	0.679166666666667
482	Clinical	TCGA_UCEC	PFI	2	3	knn	0	0.583333333333333
483	Clinical	TCGA_UCEC	PFI	2	4	knn	0	0.675
484	Clinical	TCGA_UCEC	PFI	2	5	knn	0	0.6652892561983471
485	Clinical	TCGA_UCEC	PFI	3	1	knn	0	0.579166666666667
486	Clinical	TCGA_UCEC	PFI	3	2	knn	0	0.5875
487	Clinical	TCGA_UCEC	PFI	3	3	knn	0	0.633333333333333
488	Clinical	TCGA_UCEC	PFI	3	4	knn	0	0.770833333333333
489	Clinical	TCGA_UCEC	PFI	3	5	knn	0	0.818181818181818
490	Clinical	TCGA_UCEC	PFI	4	1	knn	0	0.708333333333333
491	Clinical	TCGA_UCEC	PFI	4	2	knn	0	0.658333333333333
492	Clinical	TCGA_UCEC	PFI	4	3	knn	0	0.4791666666666671
493	Clinical	TCGA_UCEC	PFI	4	4	knn	0	0.820833333333333
494	Clinical	TCGA_UCEC	PFI	4	5	knn	0	0.6776859504132231
495	Clinical	TCGA_UCEC	PFI	5	1	knn	0	0.591666666666667
496	Clinical	TCGA_UCEC	PFI	5	2	knn	0	0.770833333333333
497	Clinical	TCGA_UCEC	PFI	5	3	knn	0	0.6
498	Clinical	TCGA_UCEC	PFI	5	4	knn	0	0.820833333333333
499	Clinical	TCGA_UCEC	PFI	5	5	knn	0	0.6776859504132231
500	Clinical	TCGA_UCEC	PFI	1	1	naiveBayes	0	0.5
501	Clinical	TCGA_UCEC	PFI	1	2	naiveBayes	0	0.583333333333333
502	Clinical	TCGA_UCEC	PFI	1	3	naiveBayes	0	0.7
503	Clinical	TCGA_UCEC	PFI	1	4	naiveBayes	0	0.758333333333333
504	Clinical	TCGA_UCEC	PFI	1	5	naiveBayes	0	0.537190082644628
505	Clinical	TCGA_UCEC	PFI	2	1	naiveBayes	0	0.5
506	Clinical	TCGA_UCEC	PFI	2	2	naiveBayes	0	0.683333333333333
507	Clinical	TCGA_UCEC	PFI	2	3	naiveBayes	0	0.725
508	Clinical	TCGA_UCEC	PFI	2	4	naiveBayes	0	0.608333333333333
509	Clinical	TCGA_UCEC	PFI	2	5	naiveBayes	0	0.6776859504132231
510	Clinical	TCGA_UCEC	PFI	3	1	naiveBayes	0	0.625
511	Clinical	TCGA_UCEC	PFI	3	2	naiveBayes	0	0.65
512	Clinical	TCGA_UCEC	PFI	3	3	naiveBayes	0	0.658333333333333
513	Clinical	TCGA_UCEC	PFI	3	4	naiveBayes	0	0.683333333333333
514	Clinical	TCGA_UCEC	PFI	3	5	naiveBayes	0	0.6446280991735539
515	Clinical	TCGA_UCEC	PFI	4	1	naiveBayes	0	0.5333333333333329
516	Clinical	TCGA_UCEC	PFI	4	2	naiveBayes	0	0.475
517	Clinical	TCGA_UCEC	PFI	4	3	naiveBayes	0	0.691666666666667
518	Clinical	TCGA_UCEC	PFI	4	4	naiveBayes	0	0.766666666666667
519	Clinical	TCGA_UCEC	PFI	4	5	naiveBayes	0	0.710743801652893
520	Clinical	TCGA_UCEC	PFI	5	1	naiveBayes	0	0.616666666666667
521	Clinical	TCGA_UCEC	PFI	5	2	naiveBayes	0	0.625
522	Clinical	TCGA_UCEC	PFI	5	3	naiveBayes	0	0.7
523	Clinical	TCGA_UCEC	PFI	5	4	naiveBayes	0	0.5333333333333329
524	Clinical	TCGA_UCEC	PFI	5	5	naiveBayes	0	0.793388429752066
525	Clinical	TCGA_UCEC	PFI	1	1	VFI	0	0.425
526	Clinical	TCGA_UCEC	PFI	1	2	VFI	0	0.5125
527	Clinical	TCGA_UCEC	PFI	1	3	VFI	0	0.583333333333333
528	Clinical	TCGA_UCEC	PFI	1	4	VFI	0	0.666666666666667
529	Clinical	TCGA_UCEC	PFI	1	5	VFI	0	0.475206611570248
530	Clinical	TCGA_UCEC	PFI	2	1	VFI	0	0.5333333333333329
531	Clinical	TCGA_UCEC	PFI	2	2	VFI	0	0.658333333333333
532	Clinical	TCGA_UCEC	PFI	2	3	VFI	0	0.758333333333333
533	Clinical	TCGA_UCEC	PFI	2	4	VFI	0	0.4791666666666671
534	Clinical	TCGA_UCEC	PFI	2	5	VFI	0	0.504132231404959
535	Clinical	TCGA_UCEC	PFI	3	1	VFI	0	0.275
536	Clinical	TCGA_UCEC	PFI	3	2	VFI	0	0.4333333333333329
537	Clinical	TCGA_UCEC	PFI	3	3	VFI	0	0.633333333333333
538	Clinical	TCGA_UCEC	PFI	3	4	VFI	0	0.7
539	Clinical	TCGA_UCEC	PFI	3	5	VFI	0	0.615702479338843
540	Clinical	TCGA_UCEC	PFI	4	1	VFI	0	0.4458333333333329
541	Clinical	TCGA_UCEC	PFI	4	2	VFI	0	0.375
542	Clinical	TCGA_UCEC	PFI	4	3	VFI	0	0.675
543	Clinical	TCGA_UCEC	PFI	4	4	VFI	0	0.625
544	Clinical	TCGA_UCEC	PFI	4	5	VFI	0	0.7024793388429749
545	Clinical	TCGA_UCEC	PFI	5	1	VFI	0	0.6125
546	Clinical	TCGA_UCEC	PFI	5	2	VFI	0	0.5875
547	Clinical	TCGA_UCEC	PFI	5	3	VFI	0	0.5083333333333329
548	Clinical	TCGA_UCEC	PFI	5	4	VFI	0	0.4
549	Clinical	TCGA_UCEC	PFI	5	5	VFI	0	0.661157024793388
550	Clinical	TCGA_UCEC	PFI	1	1	svm	0	0.6
551	Clinical	TCGA_UCEC	PFI	1	2	svm	0	0.75
552	Clinical	TCGA_UCEC	PFI	1	3	svm	0	0.758333333333333
553	Clinical	TCGA_UCEC	PFI	1	4	svm	0	0.675
554	Clinical	TCGA_UCEC	PFI	1	5	svm	0	0.628099173553719
555	Clinical	TCGA_UCEC	PFI	2	1	svm	0	0.5
556	Clinical	TCGA_UCEC	PFI	2	2	svm	0	0.758333333333333
557	Clinical	TCGA_UCEC	PFI	2	3	svm	0	0.583333333333333
558	Clinical	TCGA_UCEC	PFI	2	4	svm	0	0.3916666666666671
559	Clinical	TCGA_UCEC	PFI	2	5	svm	0	0.7685950413223142
560	Clinical	TCGA_UCEC	PFI	3	1	svm	0	0.4666666666666671
561	Clinical	TCGA_UCEC	PFI	3	2	svm	0	0.683333333333333
562	Clinical	TCGA_UCEC	PFI	3	3	svm	0	0.633333333333333
563	Clinical	TCGA_UCEC	PFI	3	4	svm	0	0.908333333333333
564	Clinical	TCGA_UCEC	PFI	3	5	svm	0	0.71900826446281
565	Clinical	TCGA_UCEC	PFI	4	1	svm	0	0.708333333333333
566	Clinical	TCGA_UCEC	PFI	4	2	svm	0	0.666666666666667
567	Clinical	TCGA_UCEC	PFI	4	3	svm	0	0.658333333333333
568	Clinical	TCGA_UCEC	PFI	4	4	svm	0	0.841666666666667
569	Clinical	TCGA_UCEC	PFI	4	5	svm	0	0.818181818181818
570	Clinical	TCGA_UCEC	PFI	5	1	svm	0	0.608333333333333
571	Clinical	TCGA_UCEC	PFI	5	2	svm	0	0.65
572	Clinical	TCGA_UCEC	PFI	5	3	svm	0	0.6375
573	Clinical	TCGA_UCEC	PFI	5	4	svm	0	0.791666666666667
574	Clinical	TCGA_UCEC	PFI	5	5	svm	0	0.793388429752066
575	Clinical	TCGA_UCEC	PFI	1	1	xgboost	0	0.5291666666666671
576	Clinical	TCGA_UCEC	PFI	1	2	xgboost	0	0.645833333333333
577	Clinical	TCGA_UCEC	PFI	1	3	xgboost	0	0.691666666666667
578	Clinical	TCGA_UCEC	PFI	1	4	xgboost	0	0.683333333333333
579	Clinical	TCGA_UCEC	PFI	1	5	xgboost	0	0.710743801652893
580	Clinical	TCGA_UCEC	PFI	2	1	xgboost	0	0.641666666666667
581	Clinical	TCGA_UCEC	PFI	2	2	xgboost	0	0.829166666666667
582	Clinical	TCGA_UCEC	PFI	2	3	xgboost	0	0.654166666666667
583	Clinical	TCGA_UCEC	PFI	2	4	xgboost	0	0.808333333333333
584	Clinical	TCGA_UCEC	PFI	2	5	xgboost	0	0.8305785123966941
585	Clinical	TCGA_UCEC	PFI	3	1	xgboost	0	0.729166666666667
586	Clinical	TCGA_UCEC	PFI	3	2	xgboost	0	0.666666666666667
587	Clinical	TCGA_UCEC	PFI	3	3	xgboost	0	0.608333333333333
588	Clinical	TCGA_UCEC	PFI	3	4	xgboost	0	0.920833333333333
589	Clinical	TCGA_UCEC	PFI	3	5	xgboost	0	0.9132231404958678
590	Clinical	TCGA_UCEC	PFI	4	1	xgboost	0	0.691666666666667
591	Clinical	TCGA_UCEC	PFI	4	2	xgboost	0	0.679166666666667
592	Clinical	TCGA_UCEC	PFI	4	3	xgboost	0	0.783333333333333
593	Clinical	TCGA_UCEC	PFI	4	4	xgboost	0	0.879166666666667
594	Clinical	TCGA_UCEC	PFI	4	5	xgboost	0	0.7685950413223142
595	Clinical	TCGA_UCEC	PFI	5	1	xgboost	0	0.679166666666667
596	Clinical	TCGA_UCEC	PFI	5	2	xgboost	0	0.841666666666667
597	Clinical	TCGA_UCEC	PFI	5	3	xgboost	0	0.5416666666666671
598	Clinical	TCGA_UCEC	PFI	5	4	xgboost	0	0.879166666666667
599	Clinical	TCGA_UCEC	PFI	5	5	xgboost	0	0.7603305785123969
600	Clinical	TCGA_UCEC	PFI	1	1	logistic_regression	0	0.716666666666667
601	Clinical	TCGA_UCEC	PFI	1	2	logistic_regression	0	0.733333333333333
602	Clinical	TCGA_UCEC	PFI	1	3	logistic_regression	0	0.75
603	Clinical	TCGA_UCEC	PFI	1	4	logistic_regression	0	0.6
604	Clinical	TCGA_UCEC	PFI	1	5	logistic_regression	0	0.6446280991735539
605	Clinical	TCGA_UCEC	PFI	2	1	logistic_regression	0	0.4916666666666671
606	Clinical	TCGA_UCEC	PFI	2	2	logistic_regression	0	0.766666666666667
607	Clinical	TCGA_UCEC	PFI	2	3	logistic_regression	0	0.833333333333333
608	Clinical	TCGA_UCEC	PFI	2	4	logistic_regression	0	0.725
609	Clinical	TCGA_UCEC	PFI	2	5	logistic_regression	0	0.776859504132231
610	Clinical	TCGA_UCEC	PFI	3	1	logistic_regression	0	0.658333333333333
611	Clinical	TCGA_UCEC	PFI	3	2	logistic_regression	0	0.683333333333333
612	Clinical	TCGA_UCEC	PFI	3	3	logistic_regression	0	0.675
613	Clinical	TCGA_UCEC	PFI	3	4	logistic_regression	0	0.825
614	Clinical	TCGA_UCEC	PFI	3	5	logistic_regression	0	0.776859504132231
615	Clinical	TCGA_UCEC	PFI	4	1	logistic_regression	0	0.625
616	Clinical	TCGA_UCEC	PFI	4	2	logistic_regression	0	0.625
617	Clinical	TCGA_UCEC	PFI	4	3	logistic_regression	0	0.675
618	Clinical	TCGA_UCEC	PFI	4	4	logistic_regression	0	0.85
619	Clinical	TCGA_UCEC	PFI	4	5	logistic_regression	0	0.84297520661157
620	Clinical	TCGA_UCEC	PFI	5	1	logistic_regression	0	0.675
621	Clinical	TCGA_UCEC	PFI	5	2	logistic_regression	0	0.741666666666667
622	Clinical	TCGA_UCEC	PFI	5	3	logistic_regression	0	0.675
623	Clinical	TCGA_UCEC	PFI	5	4	logistic_regression	0	0.783333333333333
624	Clinical	TCGA_UCEC	PFI	5	5	logistic_regression	0	0.793388429752066
650	Clinical	TCGA_UCEC	PFI	1	1	random_forest	0	0.5291666666666671
651	Clinical	TCGA_UCEC	PFI	1	2	random_forest	0	0.75
652	Clinical	TCGA_UCEC	PFI	1	3	random_forest	0	0.716666666666667
653	Clinical	TCGA_UCEC	PFI	1	4	random_forest	0	0.5875
654	Clinical	TCGA_UCEC	PFI	1	5	random_forest	0	0.615702479338843
655	Clinical	TCGA_UCEC	PFI	2	1	random_forest	0	0.5333333333333329
656	Clinical	TCGA_UCEC	PFI	2	2	random_forest	0	0.683333333333333
657	Clinical	TCGA_UCEC	PFI	2	3	random_forest	0	0.633333333333333
658	Clinical	TCGA_UCEC	PFI	2	4	random_forest	0	0.8125
659	Clinical	TCGA_UCEC	PFI	2	5	random_forest	0	0.7396694214876031
660	Clinical	TCGA_UCEC	PFI	3	1	random_forest	0	0.5625
661	Clinical	TCGA_UCEC	PFI	3	2	random_forest	0	0.5416666666666671
662	Clinical	TCGA_UCEC	PFI	3	3	random_forest	0	0.5083333333333329
663	Clinical	TCGA_UCEC	PFI	3	4	random_forest	0	0.833333333333333
664	Clinical	TCGA_UCEC	PFI	3	5	random_forest	0	0.84297520661157
665	Clinical	TCGA_UCEC	PFI	4	1	random_forest	0	0.608333333333333
666	Clinical	TCGA_UCEC	PFI	4	2	random_forest	0	0.633333333333333
667	Clinical	TCGA_UCEC	PFI	4	3	random_forest	0	0.579166666666667
668	Clinical	TCGA_UCEC	PFI	4	4	random_forest	0	0.8125
669	Clinical	TCGA_UCEC	PFI	4	5	random_forest	0	0.776859504132231
670	Clinical	TCGA_UCEC	PFI	5	1	random_forest	0	0.604166666666667
671	Clinical	TCGA_UCEC	PFI	5	2	random_forest	0	0.804166666666667
672	Clinical	TCGA_UCEC	PFI	5	3	random_forest	0	0.633333333333333
673	Clinical	TCGA_UCEC	PFI	5	4	random_forest	0	0.7875
674	Clinical	TCGA_UCEC	PFI	5	5	random_forest	0	0.7685950413223142
675	Clinical	TCGA_LUAD	PFI	1	1	glmnet	0	0.551111111111111
676	Clinical	TCGA_LUAD	PFI	1	2	glmnet	0	0.8088888888888891
677	Clinical	TCGA_LUAD	PFI	1	3	glmnet	0	0.5955555555555561
678	Clinical	TCGA_LUAD	PFI	1	4	glmnet	0	0.826666666666667
679	Clinical	TCGA_LUAD	PFI	1	5	glmnet	0	0.5142857142857139
680	Clinical	TCGA_LUAD	PFI	2	1	glmnet	0	0.866666666666667
681	Clinical	TCGA_LUAD	PFI	2	2	glmnet	0	0.568888888888889
682	Clinical	TCGA_LUAD	PFI	2	3	glmnet	0	0.6488888888888891
683	Clinical	TCGA_LUAD	PFI	2	4	glmnet	0	0.755555555555556
684	Clinical	TCGA_LUAD	PFI	2	5	glmnet	0	0.747619047619048
685	Clinical	TCGA_LUAD	PFI	3	1	glmnet	0	0.693333333333333
686	Clinical	TCGA_LUAD	PFI	3	2	glmnet	0	0.564444444444444
687	Clinical	TCGA_LUAD	PFI	3	3	glmnet	0	0.657777777777778
688	Clinical	TCGA_LUAD	PFI	3	4	glmnet	0	0.7911111111111109
689	Clinical	TCGA_LUAD	PFI	3	5	glmnet	0	0.742857142857143
690	Clinical	TCGA_LUAD	PFI	4	1	glmnet	0	0.568888888888889
691	Clinical	TCGA_LUAD	PFI	4	2	glmnet	0	0.6444444444444439
692	Clinical	TCGA_LUAD	PFI	4	3	glmnet	0	0.675555555555555
693	Clinical	TCGA_LUAD	PFI	4	4	glmnet	0	0.5955555555555561
694	Clinical	TCGA_LUAD	PFI	4	5	glmnet	0	0.7285714285714291
695	Clinical	TCGA_LUAD	PFI	5	1	glmnet	0	0.68
696	Clinical	TCGA_LUAD	PFI	5	2	glmnet	0	0.622222222222222
697	Clinical	TCGA_LUAD	PFI	5	3	glmnet	0	0.6155555555555561
698	Clinical	TCGA_LUAD	PFI	5	4	glmnet	0	0.637777777777778
699	Clinical	TCGA_LUAD	PFI	5	5	glmnet	0	0.7857142857142858
700	Clinical	TCGA_LUAD	PFI	1	1	naiveBayes	0	0.457777777777778
701	Clinical	TCGA_LUAD	PFI	1	2	naiveBayes	0	0.84
702	Clinical	TCGA_LUAD	PFI	1	3	naiveBayes	0	0.5111111111111111
703	Clinical	TCGA_LUAD	PFI	1	4	naiveBayes	0	0.48
704	Clinical	TCGA_LUAD	PFI	1	5	naiveBayes	0	0.452380952380952
705	Clinical	TCGA_LUAD	PFI	2	1	naiveBayes	0	0.6711111111111109
706	Clinical	TCGA_LUAD	PFI	2	2	naiveBayes	0	0.56
707	Clinical	TCGA_LUAD	PFI	2	3	naiveBayes	0	0.56
708	Clinical	TCGA_LUAD	PFI	2	4	naiveBayes	0	0.6711111111111109
709	Clinical	TCGA_LUAD	PFI	2	5	naiveBayes	0	0.6571428571428571
710	Clinical	TCGA_LUAD	PFI	3	1	naiveBayes	0	0.68
711	Clinical	TCGA_LUAD	PFI	3	2	naiveBayes	0	0.44
712	Clinical	TCGA_LUAD	PFI	3	3	naiveBayes	0	0.5911111111111109
713	Clinical	TCGA_LUAD	PFI	3	4	naiveBayes	0	0.6977777777777779
714	Clinical	TCGA_LUAD	PFI	3	5	naiveBayes	0	0.6
715	Clinical	TCGA_LUAD	PFI	4	1	naiveBayes	0	0.484444444444444
716	Clinical	TCGA_LUAD	PFI	4	2	naiveBayes	0	0.542222222222222
717	Clinical	TCGA_LUAD	PFI	4	3	naiveBayes	0	0.662222222222222
718	Clinical	TCGA_LUAD	PFI	4	4	naiveBayes	0	0.44
719	Clinical	TCGA_LUAD	PFI	4	5	naiveBayes	0	0.480952380952381
720	Clinical	TCGA_LUAD	PFI	5	1	naiveBayes	0	0.626666666666667
721	Clinical	TCGA_LUAD	PFI	5	2	naiveBayes	0	0.537777777777778
722	Clinical	TCGA_LUAD	PFI	5	3	naiveBayes	0	0.613333333333334
723	Clinical	TCGA_LUAD	PFI	5	4	naiveBayes	0	0.5911111111111109
724	Clinical	TCGA_LUAD	PFI	5	5	naiveBayes	0	0.6095238095238089
725	Clinical	TCGA_LUAD	PFI	1	1	knn	0	0.444444444444444
726	Clinical	TCGA_LUAD	PFI	1	2	knn	0	0.793333333333333
727	Clinical	TCGA_LUAD	PFI	1	3	knn	0	0.577777777777778
728	Clinical	TCGA_LUAD	PFI	1	4	knn	0	0.566666666666667
729	Clinical	TCGA_LUAD	PFI	1	5	knn	0	0.473809523809524
730	Clinical	TCGA_LUAD	PFI	2	1	knn	0	0.686666666666667
731	Clinical	TCGA_LUAD	PFI	2	2	knn	0	0.622222222222222
732	Clinical	TCGA_LUAD	PFI	2	3	knn	0	0.628888888888889
733	Clinical	TCGA_LUAD	PFI	2	4	knn	0	0.584444444444444
734	Clinical	TCGA_LUAD	PFI	2	5	knn	0	0.6238095238095239
735	Clinical	TCGA_LUAD	PFI	3	1	knn	0	0.662222222222222
736	Clinical	TCGA_LUAD	PFI	3	2	knn	0	0.548888888888889
737	Clinical	TCGA_LUAD	PFI	3	3	knn	0	0.6111111111111109
738	Clinical	TCGA_LUAD	PFI	3	4	knn	0	0.64
739	Clinical	TCGA_LUAD	PFI	3	5	knn	0	0.495238095238095
740	Clinical	TCGA_LUAD	PFI	4	1	knn	0	0.522222222222222
741	Clinical	TCGA_LUAD	PFI	4	2	knn	0	0.5955555555555561
742	Clinical	TCGA_LUAD	PFI	4	3	knn	0	0.675555555555556
743	Clinical	TCGA_LUAD	PFI	4	4	knn	0	0.5933333333333329
744	Clinical	TCGA_LUAD	PFI	4	5	knn	0	0.564285714285714
745	Clinical	TCGA_LUAD	PFI	5	1	knn	0	0.6844444444444441
746	Clinical	TCGA_LUAD	PFI	5	2	knn	0	0.4533333333333329
747	Clinical	TCGA_LUAD	PFI	5	3	knn	0	0.52
748	Clinical	TCGA_LUAD	PFI	5	4	knn	0	0.577777777777778
749	Clinical	TCGA_LUAD	PFI	5	5	knn	0	0.6261904761904761
750	Clinical	TCGA_LUAD	PFI	1	1	VFI	0	0.673333333333333
751	Clinical	TCGA_LUAD	PFI	1	2	VFI	0	0.7
752	Clinical	TCGA_LUAD	PFI	1	3	VFI	0	0.542222222222222
753	Clinical	TCGA_LUAD	PFI	1	4	VFI	0	0.7377777777777779
754	Clinical	TCGA_LUAD	PFI	1	5	VFI	0	0.404761904761905
755	Clinical	TCGA_LUAD	PFI	2	1	VFI	0	0.846666666666667
756	Clinical	TCGA_LUAD	PFI	2	2	VFI	0	0.548888888888889
757	Clinical	TCGA_LUAD	PFI	2	3	VFI	0	0.6466666666666671
758	Clinical	TCGA_LUAD	PFI	2	4	VFI	0	0.7311111111111109
759	Clinical	TCGA_LUAD	PFI	2	5	VFI	0	0.7190476190476189
760	Clinical	TCGA_LUAD	PFI	3	1	VFI	0	0.5955555555555561
761	Clinical	TCGA_LUAD	PFI	3	2	VFI	0	0.537777777777778
762	Clinical	TCGA_LUAD	PFI	3	3	VFI	0	0.555555555555555
763	Clinical	TCGA_LUAD	PFI	3	4	VFI	0	0.651111111111111
764	Clinical	TCGA_LUAD	PFI	3	5	VFI	0	0.8
765	Clinical	TCGA_LUAD	PFI	4	1	VFI	0	0.4266666666666671
766	Clinical	TCGA_LUAD	PFI	4	2	VFI	0	0.4755555555555561
767	Clinical	TCGA_LUAD	PFI	4	3	VFI	0	0.666666666666667
768	Clinical	TCGA_LUAD	PFI	4	4	VFI	0	0.555555555555556
769	Clinical	TCGA_LUAD	PFI	4	5	VFI	0	0.647619047619048
770	Clinical	TCGA_LUAD	PFI	5	1	VFI	0	0.588888888888889
771	Clinical	TCGA_LUAD	PFI	5	2	VFI	0	0.477777777777778
772	Clinical	TCGA_LUAD	PFI	5	3	VFI	0	0.564444444444444
773	Clinical	TCGA_LUAD	PFI	5	4	VFI	0	0.755555555555556
774	Clinical	TCGA_LUAD	PFI	5	5	VFI	0	0.6523809523809521
775	Clinical	TCGA_LUAD	PFI	1	1	svm	0	0.4933333333333329
776	Clinical	TCGA_LUAD	PFI	1	2	svm	0	0.506666666666667
777	Clinical	TCGA_LUAD	PFI	1	3	svm	0	0.6355555555555551
778	Clinical	TCGA_LUAD	PFI	1	4	svm	0	0.8177777777777779
779	Clinical	TCGA_LUAD	PFI	1	5	svm	0	0.6190476190476191
780	Clinical	TCGA_LUAD	PFI	2	1	svm	0	0.8622222222222221
781	Clinical	TCGA_LUAD	PFI	2	2	svm	0	0.6355555555555561
782	Clinical	TCGA_LUAD	PFI	2	3	svm	0	0.586666666666667
783	Clinical	TCGA_LUAD	PFI	2	4	svm	0	0.657777777777778
784	Clinical	TCGA_LUAD	PFI	2	5	svm	0	0.70952380952381
785	Clinical	TCGA_LUAD	PFI	3	1	svm	0	0.693333333333333
786	Clinical	TCGA_LUAD	PFI	3	2	svm	0	0.577777777777778
787	Clinical	TCGA_LUAD	PFI	3	3	svm	0	0.6355555555555561
788	Clinical	TCGA_LUAD	PFI	3	4	svm	0	0.755555555555556
789	Clinical	TCGA_LUAD	PFI	3	5	svm	0	0.69047619047619
790	Clinical	TCGA_LUAD	PFI	4	1	svm	0	0.551111111111111
791	Clinical	TCGA_LUAD	PFI	4	2	svm	0	0.7155555555555559
792	Clinical	TCGA_LUAD	PFI	4	3	svm	0	0.7111111111111109
